2025-07-21T15:38:28.720953: PreToolUse hook triggered - Tool: TestTool, Session: test-ses...
2025-07-21T19:08:29.987708: PreToolUse hook triggered - Tool: Bash, Session: f699b541...
2025-07-21T19:08:29.987846: CLAUDE.md is empty or missing, allowing processing
2025-07-21T19:08:29.988123: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:08:30.007788: Dynamic context injection successful
2025-07-21T19:08:41.053128: PreToolUse hook triggered - Tool: Bash, Session: f699b541...
2025-07-21T19:08:41.054138: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:08:41.054199: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:08:41.054435: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:08:41.067113: Dynamic context injection successful
2025-07-21T19:14:37.498386: PreToolUse hook triggered - Tool: TodoWrite, Session: 9f181376...
2025-07-21T19:14:37.498493: CLAUDE.md is empty or missing, allowing processing
2025-07-21T19:14:37.498598: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:14:37.510870: Dynamic context injection successful
2025-07-21T19:14:42.628526: PreToolUse hook triggered - Tool: Read, Session: 9f181376...
2025-07-21T19:14:42.628796: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:14:42.628847: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:14:42.628927: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:14:42.628962: PreToolUse hook triggered - Tool: Read, Session: 9f181376...
2025-07-21T19:14:42.629128: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:14:42.629178: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:14:42.629258: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:14:42.633769: PreToolUse hook triggered - Tool: Read, Session: 9f181376...
2025-07-21T19:14:42.633976: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:14:42.634029: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:14:42.634118: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:14:42.642728: Dynamic context injection successful
2025-07-21T19:14:42.642794: Dynamic context injection successful
2025-07-21T19:14:42.646880: Dynamic context injection successful
2025-07-21T19:14:53.168355: PreToolUse hook triggered - Tool: Bash, Session: 9f181376...
2025-07-21T19:14:53.168820: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:14:53.168873: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:14:53.169013: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:14:53.181076: Dynamic context injection successful
2025-07-21T19:14:54.034480: PreToolUse hook triggered - Tool: Bash, Session: 9f181376...
2025-07-21T19:14:54.034980: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:14:54.035034: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:14:54.035168: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:14:54.047404: Dynamic context injection successful
2025-07-21T19:15:01.826539: PreToolUse hook triggered - Tool: TodoWrite, Session: 9f181376...
2025-07-21T19:15:01.827004: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:15:01.827054: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:15:01.827182: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:15:01.839600: Dynamic context injection successful
2025-07-21T19:15:06.685980: PreToolUse hook triggered - Tool: Bash, Session: 9f181376...
2025-07-21T19:15:06.686472: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:15:06.686517: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:15:06.686649: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:15:06.698492: Dynamic context injection successful
2025-07-21T19:46:59.932739: PreToolUse hook triggered - Tool: Read, Session: c67a6b8f...
2025-07-21T19:46:59.932958: CLAUDE.md is empty or missing, allowing processing
2025-07-21T19:46:59.933052: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:46:59.950758: Dynamic context injection successful
2025-07-21T19:47:09.123675: PreToolUse hook triggered - Tool: Read, Session: c67a6b8f...
2025-07-21T19:47:09.123975: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:47:09.124024: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:47:09.124111: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:47:09.125839: PreToolUse hook triggered - Tool: LS, Session: c67a6b8f...
2025-07-21T19:47:09.126049: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:47:09.126093: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:47:09.126188: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:47:09.137327: Dynamic context injection successful
2025-07-21T19:47:09.138536: Dynamic context injection successful
2025-07-21T19:47:52.327788: PreToolUse hook triggered - Tool: Read, Session: c67a6b8f...
2025-07-21T19:47:52.327920: PreToolUse hook triggered - Tool: Read, Session: c67a6b8f...
2025-07-21T19:47:52.328227: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:47:52.328278: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:47:52.328285: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:47:52.328327: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:47:52.328428: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:47:52.328457: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:47:52.341438: Dynamic context injection successful
2025-07-21T19:47:52.341509: Dynamic context injection successful
2025-07-21T19:49:02.093277: PreToolUse hook triggered - Tool: Bash, Session: c67a6b8f...
2025-07-21T19:49:02.093872: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:49:02.093917: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:49:02.094087: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:49:02.105857: Dynamic context injection successful
2025-07-21T19:51:18.936471: PreToolUse hook triggered - Tool: TodoWrite, Session: c67a6b8f...
2025-07-21T19:51:18.938532: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:51:18.938577: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:51:18.938771: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:51:18.955739: Dynamic context injection successful
2025-07-21T19:51:24.511869: PreToolUse hook triggered - Tool: TodoWrite, Session: c67a6b8f...
2025-07-21T19:51:24.512547: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:51:24.512599: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:51:24.512778: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:51:24.525117: Dynamic context injection successful
2025-07-21T19:51:29.939765: PreToolUse hook triggered - Tool: Read, Session: c67a6b8f...
2025-07-21T19:51:29.940448: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:51:29.940536: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:51:29.940718: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:51:29.952530: Dynamic context injection successful
2025-07-21T19:52:05.906964: PreToolUse hook triggered - Tool: TodoWrite, Session: c67a6b8f...
2025-07-21T19:52:05.907764: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:52:05.907820: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:52:05.908027: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:52:05.921553: Dynamic context injection successful
2025-07-21T19:52:32.578207: PreToolUse hook triggered - Tool: Edit, Session: c67a6b8f...
2025-07-21T19:52:32.580309: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:52:32.580373: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:52:32.580607: Found user prompt: '<local-command-stdout></local-command-stdout>...' (length: 45)
2025-07-21T19:52:32.611761: Dynamic context injection successful
2025-07-21T19:52:39.490701: PreToolUse hook triggered - Tool: TodoWrite, Session: c67a6b8f...
2025-07-21T19:52:39.491701: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:52:39.491755: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:52:39.492163: Found user prompt: 'im testing the pre tool script thats supposed to run  and generate the claude.md file...' (length: 85)
2025-07-21T19:52:39.492247: Skipping prompt due to pattern match: im testing the pre tool script thats supposed to r...
2025-07-21T19:53:02.307462: PreToolUse hook triggered - Tool: Edit, Session: c67a6b8f...
2025-07-21T19:53:02.308290: Fresh session detected: 0 user messages, 0 assistant messages
2025-07-21T19:53:02.308339: Fresh session detected (likely after /clear), allowing processing
2025-07-21T19:53:02.308580: Found user prompt: 'im testing the pre tool script thats supposed to run  and generate the claude.md file...' (length: 85)
2025-07-21T19:53:02.308621: Skipping prompt due to pattern match: im testing the pre tool script thats supposed to r...
2025-07-21T19:53:12.973616: PreToolUse hook triggered - Tool: Edit, Session: c67a6b8f...
2025-07-21T19:53:12.973770: Session c67a6b8f already processed recently, skipping
2025-07-21T19:53:12.973815: Session c67a6b8f processing not needed, skipping
2025-07-21T19:53:35.627070: PreToolUse hook triggered - Tool: Edit, Session: c67a6b8f...
2025-07-21T19:53:35.627223: Session c67a6b8f already processed recently, skipping
2025-07-21T19:53:35.627269: Session c67a6b8f processing not needed, skipping
2025-07-21T19:53:42.870000: PreToolUse hook triggered - Tool: TodoWrite, Session: c67a6b8f...
2025-07-21T19:53:42.870153: Session c67a6b8f already processed recently, skipping
2025-07-21T19:53:42.870200: Session c67a6b8f processing not needed, skipping
2025-07-21T19:53:53.164621: PreToolUse hook triggered - Tool: Bash, Session: c67a6b8f...
2025-07-21T19:53:53.164766: Session c67a6b8f already processed recently, skipping
2025-07-21T19:53:53.164812: Session c67a6b8f processing not needed, skipping
2025-07-22T00:07:50.117482: PreToolUse hook triggered - Tool: TodoWrite, Session: c67a6b8f...
2025-07-22T00:07:50.117637: Session c67a6b8f processed >30min ago, allowing re-processing
2025-07-22T00:07:50.119446: Found user prompt: 'im testing the pre tool script thats supposed to run  and generate the claude.md file...' (length: 85)
2025-07-22T00:07:50.139867: Dynamic context injection successful
2025-07-22T00:08:30.264776: PreToolUse hook triggered - Tool: Read, Session: c67a6b8f...
2025-07-22T00:08:30.265224: CLAUDE.md is empty or missing, allowing re-processing
2025-07-22T00:08:30.265589: Found user prompt: 'im testing the pre tool script thats supposed to run  and generate the claude.md file...' (length: 85)
2025-07-22T00:08:30.284482: Dynamic context injection successful
2025-07-22T00:09:22.093160: PreToolUse hook triggered - Tool: Bash, Session: c67a6b8f...
2025-07-22T00:09:22.093298: Session c67a6b8f already processed recently, skipping
2025-07-22T00:09:22.093341: Session c67a6b8f processing not needed, skipping
2025-07-22T00:09:28.530225: PreToolUse hook triggered - Tool: Read, Session: c67a6b8f...
2025-07-22T00:09:28.530404: Session c67a6b8f already processed recently, skipping
2025-07-22T00:09:28.530454: Session c67a6b8f processing not needed, skipping
2025-07-22T00:09:36.110793: PreToolUse hook triggered - Tool: WebFetch, Session: c67a6b8f...
2025-07-22T00:09:36.110956: Session c67a6b8f already processed recently, skipping
2025-07-22T00:09:36.111007: Session c67a6b8f processing not needed, skipping
2025-07-22T00:09:48.787635: PreToolUse hook triggered - Tool: Bash, Session: c67a6b8f...
2025-07-22T00:09:48.787786: Session c67a6b8f already processed recently, skipping
2025-07-22T00:09:48.787832: Session c67a6b8f processing not needed, skipping
2025-07-22T00:09:57.617321: PreToolUse hook triggered - Tool: Bash, Session: c67a6b8f...
2025-07-22T00:09:57.617467: Session c67a6b8f already processed recently, skipping
2025-07-22T00:09:57.617513: Session c67a6b8f processing not needed, skipping
2025-07-22T00:10:05.030660: PreToolUse hook triggered - Tool: Bash, Session: c67a6b8f...
2025-07-22T00:10:05.030806: Session c67a6b8f already processed recently, skipping
2025-07-22T00:10:05.030855: Session c67a6b8f processing not needed, skipping
2025-07-22T00:10:53.645349: PreToolUse hook triggered - Tool: Bash, Session: c67a6b8f...
2025-07-22T00:10:53.645521: CLAUDE.md is empty or missing, allowing re-processing
2025-07-22T00:10:53.645937: Found user prompt: 'im testing the pre tool script thats supposed to run  and generate the claude.md file...' (length: 85)
2025-07-22T00:10:53.658555: Dynamic context injection successful
2025-07-22T00:12:28.521851: PreToolUse hook triggered - Tool: Bash, Session: c67a6b8f...
2025-07-22T00:12:28.521997: Session c67a6b8f already processed recently, skipping
2025-07-22T00:12:28.522038: Session c67a6b8f processing not needed, skipping
2025-07-22T00:13:31.595717: PreToolUse hook triggered - Tool: Grep, Session: 8553b49f...
2025-07-22T00:13:31.595960: Session freshness check: 1 user messages, 2 assistant messages, total: 3, is_fresh: True
2025-07-22T00:13:31.596017: Fresh session detected (likely after /clear), allowing processing
2025-07-22T00:13:31.596125: Found user prompt: 'run a tool please, maybe search or something...' (length: 44)
2025-07-22T00:13:31.608019: Dynamic context injection successful
2025-07-22T00:14:05.219704: PreToolUse hook triggered - Tool: Read, Session: 8553b49f...
2025-07-22T00:14:05.219840: Session 8553b49f already processed recently, skipping
2025-07-22T00:14:05.219885: Session 8553b49f processing not needed, skipping
2025-07-22T00:14:58.993894: PreToolUse hook triggered - Tool: Glob, Session: 8553b49f...
2025-07-22T00:14:58.994055: Session 8553b49f already processed recently, skipping
2025-07-22T00:14:58.994110: Session 8553b49f processing not needed, skipping
2025-07-22T00:14:59.001575: PreToolUse hook triggered - Tool: Glob, Session: 8553b49f...
2025-07-22T00:14:59.001729: Session 8553b49f already processed recently, skipping
2025-07-22T00:14:59.001789: Session 8553b49f processing not needed, skipping
2025-07-22T00:14:59.003659: PreToolUse hook triggered - Tool: Glob, Session: 8553b49f...
2025-07-22T00:14:59.003802: Session 8553b49f already processed recently, skipping
2025-07-22T00:14:59.003852: Session 8553b49f processing not needed, skipping
2025-07-22T00:14:59.005376: PreToolUse hook triggered - Tool: Glob, Session: 8553b49f...
2025-07-22T00:14:59.005532: Session 8553b49f already processed recently, skipping
2025-07-22T00:14:59.005592: Session 8553b49f processing not needed, skipping
2025-07-22T00:15:03.195201: PreToolUse hook triggered - Tool: LS, Session: 8553b49f...
2025-07-22T00:15:03.195363: Session 8553b49f already processed recently, skipping
2025-07-22T00:15:03.195411: Session 8553b49f processing not needed, skipping
